20
0	100	60	130	125	130	220	132	200	300	214	295	387	366	392	403	412	523	481	465
100	0	124	186	95	126	207	167	189	197	199	201	229	329	336	348	352	350	349	329
60	124	0	66	127	133	142	140	153	224	199	226	326	374	381	402	416	398	376	339
130	186	66	0	160	163	179	126	157	278	200	218	264	380	382	391	403	388	364	347
125	95	127	160	0	61	129	111	117	179	184	196	239	244	261	329	339	403	392	301
130	126	133	163	61	0	69	123	129	164	187	206	227	241	259	321	309	404	399	325
220	207	142	179	129	69	0	139	148	103	202	235	285	242	324	331	374	421	404	349
132	167	140	126	111	123	139	0	62	216	75	152	264	253	268	279	302	281	269	241
200	189	153	157	117	129	148	62	0	139	142	88	206	193	260	301	329	275	260	230
300	197	224	278	179	164	103	216	139	0	300	138	168	160	261	299	347	276	283	241
214	199	199	200	184	187	202	75	142	300	0	101	231	178	200	324	362	249	200	168
295	201	226	218	196	206	235	152	88	138	101	0	160	98	163	228	301	201	324	198
387	229	326	264	239	227	285	264	206	168	231	160	0	77	146	184	200	299	336	236
366	329	374	380	244	241	242	253	193	160	178	98	77	0	80	151	161	199	226	234
392	336	381	382	261	259	324	298	260	261	200	163	146	80	0	74	126	140	209	207
403	348	402	391	329	321	331	279	301	299	324	228	184	151	74	0	80	54	109	149
412	352	416	403	339	309	374	302	329	347	362	301	200	161	126	80	0	158	226	185
523	350	398	388	403	404	421	281	275	276	249	201	299	199	140	54	158	0	87	162
481	349	376	364	392	399	404	269	260	283	200	324	336	226	209	109	226	87	0	75
465	329	339	347	301	325	349	241	230	241	168	198	236	234	207	149	185	162	75	0
